FECHA;CUENTA;CONCEPTO;IMPORTE;DESCRIPCIÓN
02/03/2025;"Tarjeta";"Variosvivienda";-67,70;"ESCOBA ELÉCTRICA"
03/03/2025;"Myinvestor";TRASPASO;-180,00;"TRASPASO"
03/03/2025;"MyinvestorPensión";TRASPASO;180,00;"TRASPASO"
03/03/2025;"Sabadell";TRASPASO;-1253,57;"TRASPASO"
03/03/2025;"TradeRepublic";TRASPASO;1253,57;"TRASPASO"
03/03/2025;"Myinvestor";TRASPASO;-7500,00;"TRASPASO"
03/03/2025;"TradeRepublic";TRASPASO;7500,00;"TRASPASO"
03/03/2025;"Tarjeta";"Ocio";-1,30;"ALMUERZO"
03/03/2025;"Santander";"Comunidad";-60,00;"CASA"
03/03/2025;"TradeRepublic";TRASPASO;-1030,00;"TRASPASO"
03/03/2025;"TradeRepublicFondo";TRASPASO;1030,00;"TRASPASO"
04/03/2025;"Tarjeta";"Ocio";-1,30;"ALMUERZO"
04/03/2025;"Tarjeta";"Comida";-9,59;"LIDL"
05/03/2025;"Tarjeta";"Ocio";-1,30;"ALMUERZO"
05/03/2025;"Santander";"Comunidad";-20,00;"DERRAMA GARAJE"
06/03/2025;"Myinvestor";TRASPASO;-1320,00;"TRASPASO"
06/03/2025;"MyinvestorFondo";TRASPASO;1320,00;"TRASPASO"
06/03/2025;"Santander";"Comunes";-389,08;"FEBRERO"
06/03/2025;"Tarjeta";"Ocio";-1,30;"ALMUERZO"
07/03/2025;"TradeRepublic";"Intereses";52,54;"DIVIDENDOS ETF"
07/03/2025;"Tarjeta";"Deporte";-7,50;"PÁDEL"
07/03/2025;"Myinvestor";"Intereses";1,79;"INTERESES"
08/03/2025;"Tarjeta";"Comida";-85,18;"MERCADONA"
08/03/2025;"Sabadell";"Variosvivienda";-870,00;"DUCHA MANISES MAMPARA/PLATO/GRIFO"
09/03/2025;"Tarjeta";"Medicamentos";-2,86;"TEVETENS, AFLOYAN Y BESITRAN"
10/03/2025;"Tarjeta";"Ocio";-1,30;"ALMUERZO"
11/03/2025;"Tarjeta";"Ocio";-1,30;"ALMUERZO"
12/03/2025;"Tarjeta";"Ocio";-18,30;"CENA LOS TONELES"
12/03/2025;"Tarjeta";"Ocio";-1,30;"ALMUERZO"
13/03/2025;"Tarjeta";"Comida";-8,05;"MERCADONA"
13/03/2025;"Tarjeta";"Variosvivienda";-29,09;"LÁMPARA"
13/03/2025;"TradeRepublic";"Intereses";0,32;"DIVIDENDOS"
14/03/2025;"Tarjeta";"Comida";-70,82;"MERCADONA"
14/03/2025;"Tarjeta";"Deporte";-5,00;"PÁDEL"
15/03/2025;"Tarjeta";"Ocio";-55,90;"COMIDA FALLAS"
17/03/2025;"TradeRepublic";TRASPASO;-2100,00;"TRASPASO"
17/03/2025;"TradeRepublicFondo";TRASPASO;2100,00;"TRASPASO"
17/03/2025;"Myinvestor";"Intereses";0,23;"DIVIDENDOS ETF"
17/03/2025;"TradeRepublic";TRASPASO;-1000,30;"TRASPASO"
17/03/2025;"TradeRepublicFondo";TRASPASO;1000,30;"TRASPASO"
17/03/2025;"TradeRepublic";"Intereses";0,17;"DIVIDENDO ALPHABET"
17/03/2025;"Tarjeta";"Deporte";-1,75;"PADEL"
17/03/2025;"Tarjeta";"Ocio";-1,30;"ALMUERZO"
17/03/2025;"Sabadell";"Intereses";1,64;"INTERESES"
18/03/2025;"Tarjeta";"Combustible";-79,00;"GASOLINA"
18/03/2025;"TradeRepublic";"Intereses";0,65;"DIVIDENDO ETF"
19/03/2025;"Santander";"Otros gastos";-141,82;"GUITARRA ELÉCTRICA"
