id,fecha,descripcion,cantidad,tipo,cuenta,concepto,cuenta_origen,cuenta_destino
id_1751070982012_pglbrlqbc,2025-02-01,INTERESES,"1,28",movimiento,N-Naranja,Intereses,,
id_1751070982012_6zhpaoh90,2025-02-01,INTERESES,"59,07",movimiento,N-TradeRepublic,Intereses,,
id_1751070982012_waqco9s25,2025-02-02,Bollo preñao,"-4,00",movimiento,N-Efectivo,Ocio,,
id_1751070982012_1bd0ehllp,2025-02-02,Chocolates Mercaet,"-7,50",movimiento,N-Efectivo,Ocio,,
id_1751070982012_15ptk37ua,2025-02-03,Mapfre salud,"-57,71",movimiento,N-Santander,Medicamentos,,
id_1751070982012_99nlkb75b,2025-02-03,Ocaso seguro,"-10,48",movimiento,N-Santander,Otros gastos,,
id_1751070982012_qpa0inu45,2025-02-01,CARREFOUR,"-88,38",movimiento,D-Tarjeta,Comida,,
id_1751070982012_29hmwf2io,2025-02-03,CASA,"-60,00",movimiento,D-Santander,Comunidad,,
id_1751070982012_wwi19sb9k,2025-02-03,ALMUERZO,"-1,30",movimiento,D-Santander,Ocio,,
id_1751070982012_nzk1r13s1,2025-02-03,TRASPASO,"500,00",traspaso,,,D-Santander,D-Bit2me
id_1751070982012_cpoq8em44,2025-02-03,Arrend trastero,"100,00",movimiento,N-Santander,Otros ingresos,,
id_1751070982012_3tjyg8yyq,2025-02-03,Pila rellotge Casio,"-3,50",movimiento,N-Efectivo,Vestir,,
id_1751070982012_qpynizm90,2025-02-03,Esmorzar,"-1,40",movimiento,N-Efectivo,Comida,,
id_1751070982012_tokygw53w,2025-02-03,Vinted puzzle Wasgij,"-9,80",movimiento,N-Naranja,Ocio,,
id_1751070982012_5sru0tpc4,2025-02-03,TRASPASO,"1000,00",traspaso,,,D-TradeRepublic,D-TradeRepublicFondo
id_1751070982012_9q0vsfwc1,2025-02-04,ALMUERZO,"-1,30",movimiento,D-Santander,Ocio,,
id_1751070982012_fk6m8lf22,2025-02-04,INTERESES,"163,31",movimiento,D-Naranja,Intereses,,
id_1751070982012_ijmc0ejey,2025-02-04,TRASPASO,"1163,32",traspaso,,,D-Naranja,D-Santander
id_1751070982012_9km19ezdi,2025-02-04,TRASPASO,"1000,00",traspaso,,,D-Naranja,D-Sabadell
id_1751070982012_6skup9re1,2025-02-04,TRASPASO,"20000,00",traspaso,,,D-Naranja,D-TradeRepublicFondo
id_1751070982012_5idc88urt,2025-02-04,ENERO,"-303,17",movimiento,D-Santander,Comunes,,
id_1751070982012_m8q3ckvn9,2025-02-04,Esmorzar,"-1,40",movimiento,N-Efectivo,Comida,,
id_1751070982012_f0t4vqv4n,2025-02-04,Gastos enero,"303,17",movimiento,N-Santander,Comunes,,
